brand,series,type,power,cool_kw,cspf,cert_no
雅哥,,ACV-83PV,1930,8.3,5.11,ACN-108-0548
雅哥,RN,ACV-65RN,1373,6.5,5.62,ACN-109-0774
雅哥,RN,ACV-50RN,1012,5,5.87,ACN-109-0757
雅哥,SG,ACV-160SG-H,3728,16,5.1,ACN-109-1105
雅哥,,ACV-72PV,1664,7.2,5.14,ACN-108-0418
雅哥,RN,ACV-73RN,1574,7.3,5.51,ACN-109-0775
雅哥,SG,ACV-112SG,2646,11.2,5.03,ACN-109-1100
雅哥,,ACV-90PV,2091,9,5.11,ACN-108-0547
雅哥,RN,ACV-28RN,552,2.8,6.02,ACN-109-0754
雅哥,RN,ACV-85RN,1895,8.5,5.33,ACN-109-1003
