項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
126,大同股份有限公司,R-802DYHN,5.50,1,8.00,2.10,一對一分離式
127,大同股份有限公司,R-36DDSR,6.50,1,3.60,0.83,一對一分離式
128,大同股份有限公司,R-502DYHN_S,5.45,1,5.00,1.20,一對一分離式
129,大同股份有限公司,R-50DDSR,6.00,1,5.20,1.25,一對一分離式
130,大同股份有限公司,R-502DDHN_S,5.45,1,5.00,1.20,一對一分離式
131,大同股份有限公司,R-282DDHN_S,5.94,1,2.80,0.64,一對一分離式
132,大同股份有限公司,R-282DDHN,5.94,1,2.80,0.64,一對一分離式
133,大同股份有限公司,R-362DDHN_S,5.93,1,3.60,0.86,一對一分離式
134,大同股份有限公司,R-422DDHN,5.45,1,4.20,0.98,一對一分離式
135,大同股份有限公司,R-802DYVN,5.12,1,8.00,2.22,一對一分離式
136,大同股份有限公司,R-282DYHN_S,5.94,1,2.80,0.64,一對一分離式
137,大同股份有限公司,R-422DDHN_S,5.45,1,4.20,0.98,一對一分離式
138,大同股份有限公司,R-36DYSR,6.50,1,3.60,0.83,一對一分離式
139,大同股份有限公司,TCV-5PN,6.88,1,18.00,4.10,單體式
140,大同股份有限公司,R-632DYHN,5.34,1,6.30,1.63,一對一分離式
141,大同股份有限公司,R-232DYHN_S,5.93,1,2.20,0.51,一對一分離式
142,大同股份有限公司,R-80DYSR,5.31,1,8.00,2.25,一對一分離式
143,大同股份有限公司,TCV-10PNX,6.58,1,35.20,8.29,單體式
144,大同股份有限公司,R-362DYHN_S,5.93,1,3.60,0.86,一對一分離式
145,大同股份有限公司,TCV-10PN,6.83,1,35.20,8.20,單體式
146,大同股份有限公司,TCV-5PNY,6.67,1,18.00,4.24,單體式
147,大同股份有限公司,R-42DDSR,6.23,1,4.10,0.98,一對一分離式
148,大同股份有限公司,R-63DDSR,5.49,1,6.30,1.59,一對一分離式
149,大同股份有限公司,R-1002DDBN,5.03,1,10.10,3.40,一對一分離式
150,大同股份有限公司,R-802DDHN,5.50,1,8.00,2.10,一對一分離式
151,大同股份有限公司,R-63DYSR,5.49,1,6.30,1.59,一對一分離式
152,大同股份有限公司,TCV-10PNY,6.58,1,35.20,8.29,單體式
