項次,公司中文全名,型號,冷氣季節性能因數CSPF標示值,能源效率等級,額定冷氣能力標示值(kW),額定冷氣能力消耗電功率標示值(kW),冷氣機機組構成方式
8467,泰陽電工股份有限公司,KMC-D50SA,3.60,5,5.00,1.87,一對一分離式
8468,泰陽電工股份有限公司,TK-A22SB,4.15,5,2.20,0.56,一對一分離式
8469,泰陽電工股份有限公司,TK-A36SB,4.05,5,3.60,0.93,一對一分離式
8470,益合電器有限公司,CEU-41,3.83,5,4.30,1.18,一對一分離式
8471,益合電器有限公司,NEU-72,3.46,5,7.20,2.18,一對一分離式
8472,益合電器有限公司,NEU-50,3.61,5,5.00,1.45,一對一分離式
8473,益合電器有限公司,ESU-018,4.12,5,2.30,0.59,一對一分離式
8474,益合電器有限公司,NEU-112,3.41,5,11.20,3.44,一對一分離式
8475,益合電器有限公司,ESU-025,4.12,5,2.80,0.71,一對一分離式
8476,益合電器有限公司,ESU-52A,3.60,5,5.20,1.51,一對一分離式
8477,益合電器有限公司,NEU-140,3.41,5,14.00,4.30,一對一分離式
8478,益合電器有限公司,ESU-056,3.82,5,6.30,1.73,一對一分離式
8479,益合電器有限公司,ESU-071,3.76,5,8.30,2.31,一對一分離式
8480,益合電器有限公司,NEU-80,3.46,5,8.00,2.42,一對一分離式
8481,益合電器有限公司,NEU-2872,3.41,5,10.20,3.13,一對一分離式
8482,益合電器有限公司,CEU-50,3.83,5,5.40,1.48,一對一分離式
8483,益合電器有限公司,NEU-41,3.61,5,4.10,1.19,一對一分離式
8484,益合電器有限公司,ESU-050,3.82,5,5.60,1.53,一對一分離式
8485,益合電器有限公司,NEU-5050,3.46,5,10.00,3.03,一對一分離式
8486,益合電器有限公司,NEU-28,3.91,5,2.80,0.75,一對一分離式
8487,益合電器有限公司,NEU-7272,3.41,5,14.80,4.55,一對一分離式
8488,益合電器有限公司,ESU-62A,3.60,5,6.20,1.80,一對一分離式
8489,益合電器有限公司,NEU-4141,3.46,5,8.20,2.48,一對一分離式
8490,益合電器有限公司,CEU-28,4.13,5,2.80,0.71,一對一分離式
8491,益合電器有限公司,NEU-85,3.46,5,8.50,2.57,一對一分離式
8492,益合電器有限公司,ESU-36A,3.90,5,3.60,0.97,一對一分離式
8493,益合電器有限公司,ESU-080,3.76,5,9.00,2.51,一對一分離式
8494,益合電器有限公司,NEU-63,3.61,5,6.30,1.83,一對一分離式
8495,益合電器有限公司,NEU-36,3.91,5,3.60,0.97,一對一分離式
8496,益合電器有限公司,ESU-036,3.82,5,4.10,1.12,一對一分離式
8497,益合電器有限公司,ESU-032,4.12,5,3.60,0.92,一對一分離式
8498,益合電器有限公司,NEU-282850,3.41,5,11.20,3.44,一對一分離式
8499,益合電器有限公司,ESU-41A,3.60,5,4.10,1.19,一對一分離式
8500,益合電器有限公司,ESU-90A,3.45,5,9.00,2.73,一對一分離式
8501,益合電器有限公司,ESU-72A,3.45,5,7.20,2.19,一對一分離式
8502,益合電器有限公司,NEU-101,3.41,5,10.10,3.10,一對一分離式
8503,益合電器有限公司,ESU-28A,3.90,5,2.80,0.75,一對一分離式
8504,益合電器有限公司,CEU-72,3.61,5,7.40,2.15,一對一分離式
8505,益合電器有限公司,NEU-8585,3.41,5,17.00,5.22,一對一分離式
8506,益合電器有限公司,ESU-063,3.76,5,7.20,2.00,一對一分離式
8507,益合電器有限公司,NEU-2850,3.46,5,8.60,2.60,一對一分離式
8508,高篁實業有限公司,KC-63NH,3.61,5,6.30,1.83,一對一分離式
8509,高篁實業有限公司,KC-36RW,3.82,5,4.10,1.12,一對一分離式
8510,高篁實業有限公司,KC-72NH-H,3.46,5,7.20,2.18,一對一分離式
8511,高篁實業有限公司,KC-32TS,4.12,5,3.60,0.92,一對一分離式
8512,高篁實業有限公司,KC-18RW,4.12,5,2.30,0.59,一對一分離式
8513,高篁實業有限公司,KW-282C,3.45,5,2.80,0.85,單體式
8514,高篁實業有限公司,KC-36TS,3.82,5,4.10,1.12,一對一分離式
8515,高篁實業有限公司,KC-80RW,3.76,5,9.00,2.51,一對一分離式
8516,高篁實業有限公司,KC-101NH-H,3.40,5,10.10,3.11,一對一分離式
8517,高篁實業有限公司,KCV-80AB,3.60,5,8.00,3.10,一對一分離式
8518,高篁實業有限公司,KC-85NH-H,3.46,5,8.50,2.58,一對一分離式
8519,高篁實業有限公司,KW-502C,3.25,5,5.00,1.61,單體式
8520,高篁實業有限公司,KC-71RW,3.76,5,8.30,2.31,一對一分離式
8521,高篁實業有限公司,KC-63RW,3.76,5,7.20,2.00,一對一分離式
8522,高篁實業有限公司,KC-32RW,4.12,5,3.60,0.92,一對一分離式
8523,高篁實業有限公司,KC-41NH,3.60,5,4.10,1.19,一對一分離式
8524,高篁實業有限公司,KCV-63AB,3.84,5,6.30,2.30,一對一分離式
8525,高篁實業有限公司,KCV-50AB,3.60,5,5.00,1.80,一對一分離式
8526,高篁實業有限公司,KC-85NH,3.46,5,8.50,2.58,一對一分離式
8527,高篁實業有限公司,KC-25RW,4.12,5,2.80,0.71,一對一分離式
8528,高篁實業有限公司,KW-362C,3.45,5,3.60,1.09,單體式
8529,高篁實業有限公司,KC-50RW,3.82,5,5.60,1.53,一對一分離式
8530,高篁實業有限公司,KC-63TS,3.76,5,7.20,2.01,一對一分離式
8531,高篁實業有限公司,KC-50NH-H,3.60,5,5.00,1.46,一對一分離式
8532,高篁實業有限公司,KCV-28AB,3.90,5,2.80,0.98,一對一分離式
8533,高篁實業有限公司,KC-45TS,3.82,5,5.00,1.37,一對一分離式
8534,高篁實業有限公司,KC-2828NH,3.60,5,5.80,1.69,多管型固定組合分離式
8535,高篁實業有限公司,KC-91NH,3.49,5,9.10,2.73,一對一分離式
8536,高篁實業有限公司,KW-562,3.25,5,6.30,2.03,單體式
8537,高篁實業有限公司,KC-63NH-H,3.61,5,6.30,1.83,一對一分離式
8538,高篁實業有限公司,KC-72NH,3.46,5,7.20,2.18,一對一分離式
8539,高篁實業有限公司,KCV-41AB,3.60,5,4.10,1.45,一對一分離式
8540,高篁實業有限公司,KC-25S,4.12,5,2.70,0.69,一對一分離式
8541,高篁實業有限公司,KC-56RW,3.82,5,6.30,1.73,一對一分離式
8542,高篁實業有限公司,KCV-72AB,3.63,5,7.20,2.95,一對一分離式
8543,高篁實業有限公司,KW-412C,3.25,5,4.10,1.32,單體式
8544,高篁實業有限公司,KCV-36AB,3.90,5,3.60,1.26,一對一分離式
8545,高篁實業有限公司,KC-101NH,3.40,5,10.10,3.11,一對一分離式
8546,高篁實業有限公司,KW-632C,3.25,5,6.30,2.03,單體式
8547,高篁實業有限公司,KC-28NH,3.90,5,2.80,0.75,一對一分離式
8548,高篁實業有限公司,KC-36NH,3.90,5,3.60,0.97,一對一分離式
8549,高篁實業有限公司,KC-50NH,3.60,5,5.00,1.46,一對一分離式
8550,淯陞企業有限公司(停業日期(起) 108年04月28日~109年04月27日),BC-A45A,3.86,5,5.00,1.36,一對一分離式
8551,淯陞企業有限公司(停業日期(起) 108年04月28日~109年04月27日),BC-A36A,3.87,5,4.10,1.11,一對一分離式
8552,康得利興業有限公司,KDA-75,3.45,5,8.40,2.55,一對一分離式
8553,康得利興業有限公司,KDA-25,3.90,5,2.80,0.75,一對一分離式
8554,康得利興業有限公司,KDA-45,3.60,5,5.00,1.46,一對一分離式
8555,康得利興業有限公司,KDA-36,3.60,5,4.10,1.19,幹管型固定組合分離式
8556,康得利興業有限公司,KDA-63,3.45,5,7.20,2.19,一對一分離式
8557,祥忠科技有限公司,NU-10X,4.13,5,2.80,0.71,一對一分離式
8558,祥忠科技有限公司,NBP-556E-H,3.61,5,6.30,1.83,一對一分離式
8559,祥忠科技有限公司,NBP-1010,3.60,5,5.80,1.69,多管型固定組合分離式
8560,祥忠科技有限公司,NB-12A,3.91,5,3.60,0.97,一對一分離式
8561,祥忠科技有限公司,NB-36A,3.41,5,10.10,3.10,一對一分離式
8562,祥忠科技有限公司,NB2-7575,3.41,5,17.00,5.22,一對一分離式
8563,祥忠科技有限公司,NBRO-71,3.76,5,8.30,2.31,一對一分離式
8564,祥忠科技有限公司,NBRO-32,4.12,5,3.60,0.92,一對一分離式
8565,祥忠科技有限公司,NBP-575E-H,3.46,5,8.50,2.58,一對一分離式
8566,祥忠科技有限公司,NB-22A,3.61,5,6.30,1.83,一對一分離式
8567,祥忠科技有限公司,MVC-508CA,3.90,5,2.20,0.63,一對一分離式
8568,祥忠科技有限公司,NB-10A,3.91,5,2.80,0.75,一對一分離式
8569,祥忠科技有限公司,NB-18A,3.61,5,5.00,1.45,一對一分離式
8570,祥忠科技有限公司,NFC-525PD,3.63,5,7.20,2.95,一對一分離式
8571,祥忠科技有限公司,NBP-575E,3.46,5,8.50,2.58,一對一分離式
8572,祥忠科技有限公司,NFC-514PD,3.60,5,4.10,1.45,一對一分離式
8573,祥忠科技有限公司,NU-25X,3.61,5,7.40,2.15,一對一分離式
8574,祥忠科技有限公司,NBNP-80,3.76,5,9.00,2.51,一對一分離式
8575,祥忠科技有限公司,NR-562C,3.25,5,6.30,2.03,單體式
8576,祥忠科技有限公司,NR-362R,3.25,5,4.10,1.32,單體式
8577,祥忠科技有限公司,NB2-2545,3.46,5,8.60,2.60,一對一分離式
8578,祥忠科技有限公司,NFC-518PD,3.60,5,5.00,1.80,一對一分離式
8579,祥忠科技有限公司,NB-25A,3.46,5,7.20,2.18,一對一分離式
8580,祥忠科技有限公司,NBRO-36,3.82,5,4.10,1.12,一對一分離式
8581,祥忠科技有限公司,NBP-545E-H,3.60,5,5.00,1.46,一對一分離式
8582,祥忠科技有限公司,MVC-510CA,3.90,5,2.80,0.95,一對一分離式
8583,祥忠科技有限公司,NB2-3636,3.46,5,8.20,2.48,一對一分離式
8584,祥忠科技有限公司,NFC-512PD,3.90,5,3.60,1.26,一對一分離式
8585,祥忠科技有限公司,NBP-563E,3.46,5,7.20,2.18,一對一分離式
8586,祥忠科技有限公司,NBP-563E-H,3.46,5,7.20,2.18,一對一分離式
8587,祥忠科技有限公司,NBRO-50,3.82,5,5.60,1.53,一對一分離式
8588,祥忠科技有限公司,NR-362C,3.25,5,4.10,1.32,單體式
8589,祥忠科技有限公司,MVC-514CA,3.60,5,4.10,1.38,一對一分離式
8590,祥忠科技有限公司,MVC-518CA,3.60,5,5.00,1.87,一對一分離式
8591,祥忠科技有限公司,NB2-2563,3.41,5,10.20,3.13,一對一分離式
8592,祥忠科技有限公司,NBP-590E-H,3.40,5,10.10,3.11,一對一分離式
8593,祥忠科技有限公司,NBRO-20,4.12,5,2.30,0.59,一對一分離式
8594,祥忠科技有限公司,NR-252R,3.45,5,2.80,0.85,單體式
8595,祥忠科技有限公司,NBRO-63,3.76,5,7.20,2.00,一對一分離式
8596,祥忠科技有限公司,MVC-525CA,3.45,5,7.20,2.48,一對一分離式
8597,祥忠科技有限公司,NB-14A,3.61,5,4.10,1.19,一對一分離式
8598,祥忠科技有限公司,NB2-6363,3.41,5,14.80,4.55,一對一分離式
8599,祥忠科技有限公司,NFC-528PD,3.60,5,8.00,3.10,一對一分離式
8600,祥忠科技有限公司,NB-50A,3.41,5,14.00,4.30,一對一分離式
8601,祥忠科技有限公司,NBRO-25,4.12,5,2.80,0.71,一對一分離式
8602,祥忠科技有限公司,NBRO-56,3.82,5,6.30,1.73,一對一分離式
8603,祥忠科技有限公司,NBP-556E,3.61,5,6.30,1.83,一對一分離式
8604,祥忠科技有限公司,NBP-580E,3.49,5,9.10,2.73,一對一分離式
8605,祥忠科技有限公司,NBP-590E,3.40,5,10.10,3.11,一對一分離式
8606,祥忠科技有限公司,NR-252C,3.45,5,2.80,0.85,單體式
8607,祥忠科技有限公司,NU-14X,3.83,5,4.30,1.18,一對一分離式
8608,祥忠科技有限公司,NB-28A,3.46,5,8.00,2.42,一對一分離式
8609,祥忠科技有限公司,NB3-252545,3.41,5,11.20,3.44,一對一分離式
8610,祥忠科技有限公司,NFC-522PD,3.84,5,6.30,2.30,一對一分離式
8611,祥忠科技有限公司,NFC-510PD,3.90,5,2.80,0.98,一對一分離式
8612,祥忠科技有限公司,NR-322C,3.45,5,3.60,1.09,單體式
8613,祥忠科技有限公司,NB-40A,3.41,5,11.20,3.44,一對一分離式
8614,祥忠科技有限公司,NU-18X,3.83,5,5.40,1.48,一對一分離式
8615,祥忠科技有限公司,MVC-512CA,3.90,5,3.60,1.26,一對一分離式
8616,祥忠科技有限公司,NB2-4545,3.46,5,10.00,3.03,一對一分離式
8617,祥忠科技有限公司,NR-452C,3.25,5,5.00,1.61,單體式
8618,祥忠科技有限公司,NBP-545E,3.60,5,5.00,1.46,一對一分離式
8619,祥忠科技有限公司,NR-452R,3.25,5,5.00,1.61,單體式
8620,祥忠科技有限公司,NR-562R,3.25,5,6.30,2.03,單體式
8621,祥忠科技有限公司,NB-30A,3.46,5,8.50,2.57,一對一分離式
8622,揚炘科技有限公司,ACD-36A3M,3.60,5,4.10,1.45,一對一分離式
8623,揚炘科技有限公司,ACD-70A3M,3.60,5,8.00,3.10,一對一分離式
8624,揚炘科技有限公司,ACD-56A3M,3.84,5,6.30,2.30,一對一分離式
8625,揚炘科技有限公司,ACD-25A3M,3.90,5,2.80,0.98,一對一分離式
8626,揚炘科技有限公司,ACD-63A3M,3.63,5,7.20,2.95,一對一分離式
8627,揚炘科技有限公司,ACC-125AS,3.40,5,14.00,4.31,一對一分離式
8628,揚炘科技有限公司,ACD-45A3M,3.60,5,5.00,1.80,一對一分離式
8629,華益冷氣有限公司,SMG-451NB,3.60,5,5.00,1.45,一對一分離式
8630,華益冷氣有限公司,SMG-361NB,3.60,5,4.10,1.19,一對一分離式
8631,華益冷氣有限公司,SMG-251NB,3.90,5,2.80,0.75,一對一分離式
8632,華益冷氣有限公司,SMG-631NB,3.45,5,7.20,2.19,一對一分離式
8633,華菱開發股份有限公司,DTS-42K18VS,3.82,5,4.20,1.15,一對一分離式
8634,華菱開發股份有限公司,DT-102KVF,3.45,5,10.20,3.10,一對一分離式
8635,華菱開發股份有限公司,DT-5023V,3.82,5,5.60,1.53,一對一分離式
8636,華菱開發股份有限公司,DT-800VH,3.76,5,9.00,2.51,一對一分離式
8637,華菱開發股份有限公司,DT-2510V,4.12,5,2.50,0.64,一對一分離式
8638,華菱開發股份有限公司,DTS-23K10VS,4.12,5,2.30,0.59,一對一分離式
8639,華菱開發股份有限公司,DT-120KVF,3.56,5,12.00,3.53,一對一分離式
8640,華菱開發股份有限公司,DTE-72K30V,3.68,5,7.20,2.05,一對一分離式
8641,華菱開發股份有限公司,DT-5625V,3.82,5,6.30,1.73,一對一分離式
8642,華菱開發股份有限公司,DT-140KVF,3.51,5,14.00,4.18,一對一分離式
8643,華菱開發股份有限公司,DT-4220VH,3.82,5,4.80,1.31,一對一分離式
8644,華菱開發股份有限公司,DTR-5025VH,3.76,5,8.40,2.34,多管型固定組合分離式
8645,華菱開發股份有限公司,DT-3215V,4.12,5,3.60,0.92,一對一分離式
8646,華菱開發股份有限公司,DT-5625VH,3.82,5,6.30,1.73,一對一分離式
8647,華菱開發股份有限公司,DTR-2525VH,3.82,5,5.60,1.53,多管型固定組合分離式
8648,華菱開發股份有限公司,DTE-28K13V,4.04,5,2.80,0.73,一對一分離式
8649,華菱開發股份有限公司,DTR-5025V,3.76,5,8.40,2.34,多管型固定組合分離式
8650,華菱開發股份有限公司,DT-710VH,3.76,5,8.30,2.31,一對一分離式
8651,華菱開發股份有限公司,DT-3618V,3.82,5,4.10,1.12,一對一分離式
8652,華菱開發股份有限公司,DTS-28K13VS,4.12,5,2.80,0.71,一對一分離式
8653,華菱開發股份有限公司,DT-900VF,3.76,5,10.20,2.84,一對一分離式
8654,華菱開發股份有限公司,DT-5023VH,3.82,5,5.60,1.53,一對一分離式
8655,華菱開發股份有限公司,DTS-50K20VS,3.82,5,5.00,1.37,一對一分離式
8656,華菱開發股份有限公司,DTR-2525V,3.82,5,5.60,1.53,多管型固定組合分離式
8657,華菱開發股份有限公司,DT-3618VH,3.82,5,4.10,1.12,一對一分離式
8658,華菱開發股份有限公司,HAN-502PV,3.40,5,5.60,1.72,單體式
8659,華菱開發股份有限公司,DTR-3625V,3.82,5,6.80,1.86,多管型固定組合分離式
8660,華菱開發股份有限公司,DT-800V,3.76,5,9.00,2.51,一對一分離式
8661,華菱開發股份有限公司,DT-2513V,4.12,5,2.80,0.71,一對一分離式
8662,華菱開發股份有限公司,DT-1000VF,3.76,5,12.00,3.34,一對一分離式
8663,華菱開發股份有限公司,DT-2510VH,4.12,5,2.50,0.64,一對一分離式
8664,華菱開發股份有限公司,DT-140KVF1,3.51,5,14.00,4.18,一對一分離式
8665,華菱開發股份有限公司,DT-3215VH,4.12,5,3.60,0.92,一對一分離式
8666,華菱開發股份有限公司,DT-6330VH,3.76,5,7.20,2.00,一對一分離式
8667,華菱開發股份有限公司,DTE-41K18V,3.83,5,4.10,1.12,一對一分離式
8668,華菱開發股份有限公司,DTS-36K15VS,4.12,5,3.60,0.92,一對一分離式
8669,華菱開發股份有限公司,DTR-3625VH,3.82,5,6.80,1.86,多管型固定組合分離式
8670,華菱開發股份有限公司,DT-4220V,3.82,5,4.80,1.31,一對一分離式
8671,華菱開發股份有限公司,DT-1250VF,3.76,5,14.00,3.90,一對一分離式
8672,華菱開發股份有限公司,DT-710V,3.76,5,8.30,2.31,一對一分離式
8673,華菱開發股份有限公司,DTE-36K15V,4.08,5,3.60,0.93,一對一分離式
8674,華菱開發股份有限公司,DT-6330V,3.76,5,7.20,2.00,一對一分離式
8675,華菱開發股份有限公司,DT-160KVF,3.80,5,16.00,4.41,一對一分離式
8676,華菱開發股份有限公司,HAN-562PV,3.40,5,6.30,1.94,單體式
8677,華菱開發股份有限公司,DT-2513VH,4.12,5,2.80,0.71,一對一分離式
8678,鈞國有限公司,PYK-15A1,3.91,5,3.60,0.97,一對一分離式
8679,鈞國有限公司,PYK-18A1,3.87,5,4.10,1.11,一對一分離式
8680,鈞國有限公司,PYK-13A1,3.91,5,2.80,0.75,一對一分離式
8681,開電企業有限公司,SJ-25G,4.19,5,2.70,0.68,一對一分離式
8682,開電企業有限公司,SJ-32,4.35,5,3.40,0.82,一對一分離式
8683,開電企業有限公司,SJ-35G,3.77,5,4.10,1.14,一對一分離式
8684,開電企業有限公司,SJ-25,4.19,5,2.70,0.68,一對一分離式
8685,開電企業有限公司,SJ-63,3.87,5,7.10,1.92,一對一分離式
8686,開電企業有限公司,SJ-35,3.77,5,4.10,1.14,一對一分離式
8687,開電企業有限公司,DM-75,3.61,5,8.50,2.46,一對一分離式
8688,開電企業有限公司,SJ-50,3.82,5,5.00,1.37,一對一分離式
8689,開電企業有限公司,SJ-32G,4.35,5,3.40,0.82,一對一分離式
8690,開電企業有限公司,SJ-63G,3.87,5,7.10,1.92,一對一分離式
8691,開電企業有限公司,SJ-50G,3.82,5,5.00,1.37,一對一分離式
8692,開電企業有限公司,SJ-75,3.61,5,8.50,2.46,一對一分離式
8693,開電企業有限公司,SJ-75G,3.61,5,8.50,2.46,一對一分離式
8694,雅光有限公司,MA-36GR6H,3.61,5,3.60,1.04,單體式
8695,雅光有限公司,RAM-2836R5H,3.61,5,6.90,2.00,一對一分離式
8696,雅光有限公司,RA-28R5H,4.13,5,2.80,0.71,一對一分離式
8697,雅光有限公司,RAM-4141R5H,3.46,5,8.20,2.48,一對一分離式
8698,雅光有限公司,RA-56R5,3.77,5,5.80,1.61,一對一分離式
8699,雅光有限公司,RAM-2828R5H,3.60,5,5.60,1.63,一對一分離式
8700,雅光有限公司,RAM-2872R5H,3.41,5,10.20,3.13,一對一分離式
8701,雅光有限公司,RA-85R5H,3.77,5,8.50,2.36,一對一分離式
8702,雅光有限公司,RA-112R5H,3.77,5,11.20,3.11,一對一分離式
8703,雅光有限公司,RA-23R5H,4.13,5,2.30,0.58,一對一分離式
8704,雅光有限公司,RA-63R5H,3.77,5,6.50,1.81,一對一分離式
8705,雅光有限公司,RA-91R5H,3.77,5,10.00,2.78,一對一分離式
8706,雅光有限公司,MA-28GR6,3.45,5,2.80,0.85,單體式
8707,雅光有限公司,RA-36R5H,4.13,5,3.70,0.94,一對一分離式
8708,雅光有限公司,RAM-2856R5H,3.46,5,8.60,2.60,一對一分離式
8709,雅光有限公司,RA-80R5,3.77,5,8.50,2.36,一對一分離式
8710,雅光有限公司,MA-28GR6H,3.45,5,2.80,0.85,單體式
8711,雅光有限公司,MA-50GR6H,3.25,5,5.00,1.61,單體式
8712,雅光有限公司,RA-112R5,3.77,5,11.20,3.11,一對一分離式
8713,雅光有限公司,RA-100R5P2,3.77,5,10.00,2.78,一對一分離式
8714,雅光有限公司,MA-23GR6H,3.45,5,2.30,0.70,單體式
8715,雅光有限公司,RAM-2841R5H,3.61,5,6.90,2.00,一對一分離式
8716,雅光有限公司,RAM-2850R5H,3.46,5,8.60,2.60,一對一分離式
8717,雅光有限公司,RA-36R5,4.13,5,3.70,0.94,一對一分離式
8718,雅光有限公司,RA-140R5P3H,3.77,5,14.00,3.89,一對一分離式
8719,雅光有限公司,RA-112R5P2,3.77,5,11.20,3.11,一對一分離式
8720,雅光有限公司,RAM-2828R5,3.60,5,5.60,1.63,一對一分離式
8721,雅光有限公司,RA-140R5P2H,3.77,5,14.00,3.89,一對一分離式
8722,雅光有限公司,MA-80GR6H,3.15,5,8.00,2.66,單體式
8723,雅光有限公司,MA-80GR6,3.15,5,8.00,2.66,單體式
8724,雅光有限公司,RAM-7272R5,3.41,5,14.80,4.55,一對一分離式
8725,雅光有限公司,MA-63GR6H,3.25,5,6.30,2.03,單體式
8726,雅光有限公司,RA-28R5,4.13,5,2.80,0.71,一對一分離式
8727,雅光有限公司,RAM-2841R5,3.61,5,6.90,2.00,一對一分離式
8728,雅光有限公司,RAM-8585R5H,3.41,5,17.00,5.22,一對一分離式
8729,雅光有限公司,RA-63R5,3.77,5,6.50,1.81,一對一分離式
8730,雅光有限公司,RAM-5050R5H,3.46,5,10.00,3.03,一對一分離式
8731,雅光有限公司,RA-100R5P3,3.77,5,10.00,2.78,一對一分離式
8732,雅光有限公司,RA-100R5P3H,3.77,5,10.00,2.78,一對一分離式
8733,雅光有限公司,RA-23R5,4.13,5,2.30,0.58,一對一分離式
8734,雅光有限公司,RA-41R5H,3.83,5,4.30,1.18,一對一分離式
8735,雅光有限公司,RA-85R5,3.77,5,8.50,2.36,一對一分離式
8736,雅光有限公司,RA-112R5P2H,3.77,5,11.20,3.11,一對一分離式
8737,雅光有限公司,RAM-2850R5,3.46,5,8.60,2.60,一對一分離式
8738,雅光有限公司,RAM-2872R5,3.41,5,10.20,3.13,一對一分離式
8739,雅光有限公司,MA-85GR6H,3.15,5,8.50,2.83,單體式
8740,雅光有限公司,RAM-2836R5,3.61,5,6.90,2.00,一對一分離式
8741,雅光有限公司,RA-56R5H,3.77,5,5.80,1.61,一對一分離式
8742,雅光有限公司,RA-91R5,3.77,5,10.00,2.78,一對一分離式
8743,雅光有限公司,MA-63GR6,3.25,5,6.30,2.03,單體式
8744,雅光有限公司,RA-112R5P3H,3.77,5,11.20,3.11,一對一分離式
8745,雅光有限公司,MA-36GR6,3.61,5,3.60,1.04,單體式
8746,雅光有限公司,RA-112R5P3,3.77,5,11.20,3.11,一對一分離式
8747,雅光有限公司,RA-50R5,3.83,5,5.40,1.48,一對一分離式
8748,雅光有限公司,RA-80R5H,3.77,5,8.50,2.36,一對一分離式
8749,雅光有限公司,RA-100R5H,3.77,5,10.00,2.78,一對一分離式
8750,雅光有限公司,RAM-8585R5,3.41,5,17.00,5.22,一對一分離式
8751,雅光有限公司,RAM-2323R5H,3.60,5,4.60,1.34,一對一分離式
8752,雅光有限公司,RAM-5050R5,3.46,5,10.00,3.03,一對一分離式
8753,雅光有限公司,RA-41R5,3.83,5,4.30,1.18,一對一分離式
8754,雅光有限公司,MA-23GR6,3.45,5,2.30,0.70,單體式
8755,雅光有限公司,MA-41GR6,3.40,5,4.10,1.26,單體式
8756,雅光有限公司,RA-140R5H,3.77,5,14.00,3.89,一對一分離式
8757,雅光有限公司,MA-72GR6H,3.15,5,7.20,2.39,單體式
8758,雅光有限公司,RA-140R5P3,3.77,5,14.00,3.89,一對一分離式
8759,雅光有限公司,RA-72R5H,3.61,5,7.40,2.15,一對一分離式
8760,雅光有限公司,RAM-2323R5,3.60,5,4.60,1.34,一對一分離式
8761,雅光有限公司,RAM-4141R5,3.46,5,8.20,2.48,一對一分離式
8762,雅光有限公司,RA-140R5P2,3.77,5,14.00,3.89,一對一分離式
8763,雅光有限公司,MA-72GR6,3.15,5,7.20,2.39,單體式
8764,雅光有限公司,MA-85GR6,3.15,5,8.50,2.83,單體式
8765,雅光有限公司,RA-100R5P2H,3.77,5,10.00,2.78,一對一分離式
8766,雅光有限公司,RAM-7272R5H,3.41,5,14.80,4.55,一對一分離式
8767,雅光有限公司,RA-50R5H,3.83,5,5.40,1.48,一對一分離式
8768,雅光有限公司,RA-140R5,3.77,5,14.00,3.89,一對一分離式
8769,雅光有限公司,MA-56GR6H,3.25,5,5.60,1.81,單體式
8770,雅光有限公司,RAM-2856R5,3.46,5,8.60,2.60,一對一分離式
8771,雅光有限公司,RA-72R5,3.61,5,7.40,2.15,一對一分離式
8772,雅光有限公司,RA-100R5,3.77,5,10.00,2.78,一對一分離式
8773,雅光有限公司,MA-50GR6,3.25,5,5.00,1.61,單體式
8774,雅光有限公司,MA-56GR6,3.25,5,5.60,1.81,單體式
8775,雅光有限公司,MA-41GR6H,3.40,5,4.10,1.26,單體式
8776,雅哥企業股份有限公司,AC-28B,3.90,5,2.80,0.75,一對一分離式
8777,雅哥企業股份有限公司,AC-50NH-H,3.60,5,5.00,1.46,一對一分離式
8778,雅哥企業股份有限公司,AR-412C,3.25,5,4.10,1.32,單體式
8779,雅哥企業股份有限公司,AC-41B,3.60,5,4.10,1.19,一對一分離式
8780,雅哥企業股份有限公司,AC-63P,3.76,5,7.20,2.00,一對一分離式
8781,雅哥企業股份有限公司,AR-282C,3.45,5,2.80,0.85,單體式
8782,雅哥企業股份有限公司,AC-85NH-H,3.46,5,8.50,2.58,一對一分離式
8783,雅哥企業股份有限公司,AC-63PP,3.60,5,6.20,1.80,一對一分離式
8784,雅哥企業股份有限公司,AC-50NH,3.60,5,5.00,1.46,一對一分離式
8785,雅哥企業股份有限公司,AR-632C,3.25,5,6.30,2.03,單體式
8786,雅哥企業股份有限公司,AC-20P,4.12,5,2.30,0.59,一對一分離式
8787,雅哥企業股份有限公司,AC-41PP,3.60,5,4.10,1.19,一對一分離式
8788,雅哥企業股份有限公司,AC-52PP,3.60,5,5.20,1.51,一對一分離式
8789,雅哥企業股份有限公司,AC-72B,3.45,5,7.20,2.19,一對一分離式
8790,雅哥企業股份有限公司,AC-125PF,3.40,5,14.00,4.31,一對一分離式
8791,雅哥企業股份有限公司,AC-36PP,3.90,5,3.60,0.97,一對一分離式
8792,雅哥企業股份有限公司,AC-91NH,3.49,5,9.10,2.73,一對一分離式
8793,雅哥企業股份有限公司,AC-2828NH,3.60,5,5.80,1.69,多管型固定組合分離式
8794,雅哥企業股份有限公司,AC-36P,3.82,5,4.10,1.12,一對一分離式
8795,雅哥企業股份有限公司,AC-71P,3.76,5,8.30,2.31,一對一分離式
8796,雅哥企業股份有限公司,AC-28PP,3.90,5,2.80,0.75,一對一分離式
8797,雅哥企業股份有限公司,ACV-72AB,3.63,5,7.20,2.95,一對一分離式
8798,雅哥企業股份有限公司,AC-63NH,3.61,5,6.30,1.83,一對一分離式
8799,雅哥企業股份有限公司,AC-63NH-H,3.61,5,6.30,1.83,一對一分離式
8800,雅哥企業股份有限公司,AC-56P,3.82,5,6.30,1.73,一對一分離式
8801,雅哥企業股份有限公司,AC-36B,3.90,5,3.60,0.97,一對一分離式
